year,date,location,net_num,net_type,inshore_mesh,code,mesh_mm,mesh_cm,species,length_mm,length_cm,length_type,weight_g,weight_type
2009,7/21/2009,Hatgal,2,sequential-5,,09HC2SQ5,,,burbot,416,41.6,measured,529,measured
2009,7/21/2009,Hatgal,2,sequential-5,,09HC2SQ5,,,grayling-hovsgol,253,25.3,measured,136,measured
2009,7/21/2009,Hatgal,3,sequential-7,,09HC3SQ7,25.4,2.54,grayling-hovsgol,238,23.8,measured,97,measured
2009,7/21/2009,Hatgal,3,sequential-7,,09HC3SQ7,25.4,2.54,grayling-hovsgol,250,25,measured,165,measured
2009,7/21/2009,Hatgal,3,sequential-7,,09HC3SQ7,25.4,2.54,grayling-hovsgol,250,25,measured,130,measured
2009,7/21/2009,Hatgal,3,sequential-7,,09HC3SQ7,25.4,2.54,grayling-hovsgol,257,25.7,measured,122,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,25.4,2.54,grayling-hovsgol,364,36.4,measured,372,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,76.2,7.62,grayling-hovsgol,385,38.5,measured,419,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,burbot,553,55.3,measured,1332.427348,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,burbot,631,63.1,measured,1275.728317,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,burbot,765,76.5,measured,3146.796587,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,burbot,781,78.1,measured,4195.728849,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,burbot,782,78.2,measured,3685.437508,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,221,22.1,measured,84,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,226,22.6,measured,83,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,227,22.7,measured,78.75526432,estimated
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,233,23.3,measured,81,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,236,23.6,measured,98,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,238,23.8,measured,112,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,238,23.8,measured,92,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,238,23.8,measured,91.43523101,estimated
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,245,24.5,measured,112,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,251,25.1,measured,96,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,254,25.4,measured,128,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,264,26.4,measured,119,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,282,28.2,measured,172,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,286,28.6,measured,187,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,293,29.3,measured,172,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,311,31.1,measured,222,measured
2009,7/22/2009,Toilogt,1,sequential-5,,09TC1SQ5,,,grayling-hovsgol,344,34.4,measured,359,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,238,23.8,measured,103,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,239,23.9,measured,103,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,242,24.2,measured,87,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,246,24.6,measured,129,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,253,25.3,measured,128,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,253,25.3,measured,110,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,253,25.3,measured,98,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,257,25.7,measured,124,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,262,26.2,measured,119,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,266,26.6,measured,122,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,271,27.1,measured,100,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,25.4,2.54,grayling-hovsgol,275,27.5,measured,90,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,38.1,3.81,grayling-hovsgol,207,20.7,measured,68,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,38.1,3.81,grayling-hovsgol,235,23.5,measured,84,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,38.1,3.81,grayling-hovsgol,250,25,measured,113,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,38.1,3.81,grayling-hovsgol,347,34.7,measured,320,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,38.1,3.81,grayling-hovsgol,375,37.5,measured,420,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,50.8,5.08,grayling-hovsgol,255,25.5,measured,109,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,,,burbot,544,54.4,measured,1304,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,,,burbot,694,69.4,measured,2806,measured
2009,7/22/2009,Toilogt,2,sequential-5,,09TC2SQ5,,,burbot,760,76,measured,3742,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,burbot,537,53.7,measured,1132,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,burbot,570,57,measured,1247,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,burbot,582,58.2,measured,1304,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,burbot,749,74.9,measured,3146,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,burbot,766,76.6,measured,3098,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,burbot,854,85.4,measured,4252,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,grayling-hovsgol,240,24,measured,95,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,grayling-hovsgol,246,24.6,measured,86,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,grayling-hovsgol,252,25.2,measured,103,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,grayling-hovsgol,252,25.2,measured,105,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,grayling-hovsgol,254,25.4,measured,103,measured
2009,7/22/2009,Toilogt,3,sequential-7,,09TC3SQ7,,,grayling-hovsgol,330,33,measured,297,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,242,24.2,measured,94,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,246,24.6,measured,104,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,247,24.7,measured,112,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,251,25.1,measured,122,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,264,26.4,measured,134,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,265,26.5,measured,134,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,265,26.5,measured,148,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,267,26.7,measured,132,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,268,26.8,measured,149,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,269,26.9,measured,128,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,271,27.1,measured,148,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,275,27.5,measured,155,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,277,27.7,measured,162,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,279,27.9,measured,174,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,279,27.9,measured,154,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,280,28,measured,160,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,284,28.4,measured,170,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,287,28.7,measured,172,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,291,29.1,measured,182,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,293,29.3,measured,194,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,295,29.5,measured,182,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,grayling-hovsgol,300,30,measured,208,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,lenok,281,28.1,measured,183,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,lenok,394,39.4,measured,532,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,25.4,2.54,lenok,394,39.4,measured,540,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,38.1,3.81,grayling-hovsgol,263,26.3,measured,126,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,38.1,3.81,roach,283,28.3,measured,244,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,50.8,5.08,burbot,254,25.4,measured,102.8755762,estimated
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,50.8,5.08,grayling-hovsgol,322,32.2,measured,255,measured
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,63.5,6.35,burbot,554,55.4,measured,1109.936319,estimated
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,76.2,7.62,burbot,728,72.8,measured,2553.30288,estimated
2009,7/23/2009,Fish Corner,1,sequential-5,,09FC1SQ5,76.2,7.62,burbot,872,87.2,measured,5216,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,grayling-hovsgol,254,25.4,measured,130,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,grayling-hovsgol,262,26.2,measured,146,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,grayling-hovsgol,274,27.4,measured,152,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,grayling-hovsgol,276,27.6,measured,162,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,grayling-hovsgol,277,27.7,measured,160,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,grayling-hovsgol,278,27.8,measured,172,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,grayling-hovsgol,281,28.1,measured,174,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,grayling-hovsgol,297,29.7,measured,195,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,lenok,246,24.6,measured,130,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,25.4,2.54,lenok,298,29.8,measured,220,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,38.1,3.81,lenok,362,36.2,measured,440,measured
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,50.8,5.08,burbot,623,62.3,measured,1587.762023,estimated
2009,7/23/2009,Fish Corner,2,sequential-5,,09FC2SQ5,76.2,7.62,burbot,780,78,measured,3151.318327,estimated
2009,7/23/2009,Fish Corner,3,sequential-7,,09FC3SQ7,25.4,2.54,grayling-hovsgol,255,25.5,measured,114,measured
2009,7/23/2009,Fish Corner,3,sequential-7,,09FC3SQ7,25.4,2.54,grayling-hovsgol,261,26.1,measured,112,measured
2009,7/23/2009,Fish Corner,3,sequential-7,,09FC3SQ7,25.4,2.54,grayling-hovsgol,262,26.2,measured,132,measured
2009,7/23/2009,Fish Corner,3,sequential-7,,09FC3SQ7,25.4,2.54,grayling-hovsgol,265,26.5,measured,138,measured
2009,7/23/2009,Fish Corner,3,sequential-7,,09FC3SQ7,25.4,2.54,grayling-hovsgol,265,26.5,measured,128,measured
2009,7/23/2009,Fish Corner,3,sequential-7,,09FC3SQ7,25.4,2.54,grayling-hovsgol,268,26.8,measured,141,measured
2009,7/23/2009,Fish Corner,3,sequential-7,,09FC3SQ7,25.4,2.54,grayling-hovsgol,285,28.5,measured,164,measured
2009,7/23/2009,Fish Corner,3,sequential-7,,09FC3SQ7,25.4,2.54,lenok,265,26.5,measured,148,measured
2009,7/23/2009,Fish Corner,3,sequential-7,,09FC3SQ7,38.1,3.81,grayling-hovsgol,337,33.7,measured,300,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,76.2,7.62,grayling-hovsgol,273,27.3,measured,184,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,76.2,7.62,grayling-hovsgol,305,30.5,measured,224,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,76.2,7.62,grayling-hovsgol,306,30.6,measured,232,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,76.2,7.62,grayling-hovsgol,338,33.8,measured,345,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,76.2,7.62,grayling-hovsgol,356,35.6,measured,375,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,435,43.5,measured,597,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,453,45.3,measured,506,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,469,46.9,measured,613,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,495,49.5,measured,710,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,592,59.2,measured,1450,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,594,59.4,measured,1255,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,598,59.8,measured,1350,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,628,62.8,measured,1505,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,685,68.5,measured,1970,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,696,69.6,measured,2355,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,burbot,830,83,measured,4050,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,246,24.6,measured,131,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,266,26.6,measured,175,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,381,38.1,measured,488,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,383,38.3,measured,535,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,425,42.5,measured,800,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,429,42.9,measured,749,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,437,43.7,measured,705,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,440,44,measured,840,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,440,44,measured,875,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,444,44.4,measured,790,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,465,46.5,measured,1010,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,478,47.8,measured,1125,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,482,48.2,measured,1012,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,lenok,497,49.7,measured,1150,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,perch,305,30.5,measured,380,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,perch,326,32.6,measured,639,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,perch,327,32.7,measured,494,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,perch,352,35.2,measured,632,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,perch,360,36,measured,590,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,perch,368,36.8,measured,720,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,perch,368,36.8,measured,670,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,perch,373,37.3,measured,735,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,perch,417,41.7,measured,1010,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,187,18.7,measured,64,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,190,19,measured,74,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,212,21.2,measured,121,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,212,21.2,measured,111,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,228,22.8,measured,146,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,264,26.4,measured,230,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,298,29.8,measured,310,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,303,30.3,measured,373,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,305,30.5,measured,349,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,306,30.6,measured,305,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,309,30.9,measured,355,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,316,31.6,measured,349,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,320,32,measured,420,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,321,32.1,measured,369,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,322,32.2,measured,370,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,330,33,measured,405,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,331,33.1,measured,464,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,334,33.4,measured,421,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,336,33.6,measured,495,measured
2009,7/25/2009,Yellow Corner,1,sequential-5,,09YC1SQ5,,,roach,385,38.5,measured,718,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,25.4,2.54,grayling-hovsgol,257,25.7,measured,112,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,25.4,2.54,grayling-hovsgol,268,26.8,measured,151,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,25.4,2.54,grayling-hovsgol,274,27.4,measured,123,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,25.4,2.54,grayling-hovsgol,280,28,measured,175,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,25.4,2.54,grayling-hovsgol,283,28.3,measured,172,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,25.4,2.54,grayling-hovsgol,293,29.3,measured,198,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,38.1,3.81,grayling-hovsgol,306,30.6,measured,211,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,burbot,447,44.7,measured,540,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,burbot,475,47.5,measured,595,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,burbot,489,48.9,measured,730,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,burbot,610,61,measured,1350,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,burbot,642,64.2,measured,1890,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,burbot,668,66.8,measured,2450,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,lenok,375,37.5,measured,455,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,lenok,501,50.1,measured,1200,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,lenok,507,50.7,measured,1300,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,lenok,515,51.5,measured,1200,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,lenok,533,53.3,measured,1201,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,lenok,595,59.5,measured,1750,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,perch,209,20.9,measured,115,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,perch,345,34.5,measured,552,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,perch,358,35.8,measured,620,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,perch,360,36,measured,651,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,perch,382,38.2,measured,853,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,roach,290,29,measured,270,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,roach,309,30.9,measured,299,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,roach,320,32,measured,360,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,roach,320,32,measured,299,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,roach,355,35.5,measured,562,measured
2009,7/25/2009,Yellow Corner,2,sequential-5,,09YC2SQ5,,,roach,380,38,measured,600,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,25.4,2.54,grayling-hovsgol,257,25.7,measured,142,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,25.4,2.54,grayling-hovsgol,281,28.1,measured,159,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,25.4,2.54,grayling-hovsgol,295,29.5,measured,170,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,burbot,440,44,measured,549.6888169,estimated
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,burbot,441,44.1,measured,450,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,burbot,620,62,measured,1564.556939,estimated
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,burbot,650,65,measured,1807.107141,estimated
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,burbot,664,66.4,measured,2345,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,burbot,680,68,measured,2073.727692,estimated
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,burbot,685,68.5,measured,2250,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,lenok,476,47.6,measured,940,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,perch,385,38.5,measured,661,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,perch,389,38.9,measured,792,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,perch,411,41.1,measured,992,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,roach,103,10.3,measured,9,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,roach,298,29.8,measured,262,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,roach,308,30.8,measured,360,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,roach,335,33.5,measured,368,measured
2009,7/25/2009,Yellow Corner,3,sequential-7,,09YC3SQ7,,,roach,337,33.7,measured,452,measured
2009,7/26/2009,Stomach Bay,1,sequential-5,,09SB1SQ5,25.4,2.54,grayling-hovsgol,242,24.2,measured,97,measured
2009,7/26/2009,Stomach Bay,1,sequential-5,,09SB1SQ5,25.4,2.54,grayling-hovsgol,242,24.2,measured,96.37160118,estimated
2009,7/26/2009,Stomach Bay,1,sequential-5,,09SB1SQ5,25.4,2.54,grayling-hovsgol,250,25,measured,106.7847069,estimated
2009,7/26/2009,Stomach Bay,1,sequential-5,,09SB1SQ5,25.4,2.54,grayling-hovsgol,254,25.4,measured,129,measured
